,degree,betweenness,eigenvector
IL2DL,31.0,0.00017702908555911127,0.002606375165000358
IL2VL,34.0,0.0006346283338576047,0.003174855784174624
IL2L,32.0,0.0022043189108863328,0.007053636588944164
URADL,13.0,0.0015493860467401786,0.0014966076072181116
IL1VL,27.0,0.0016338833621685732,0.005035820644985512
IL2DR,29.0,0.00042584402375675013,0.0025810260755380118
IL1DL,27.0,0.002994243655184172,0.004707744841244151
OLLL,68.0,0.000834674675588076,0.06225116948143766
IL1L,23.0,0.0018922266806796846,0.009153815067823952
URYDL,19.0,0.003968796175369198,0.014003527153031924
OLQDL,27.0,0.002028587106602085,0.006307834825527875
URYDR,21.0,0.0017619825640645484,0.01776311809411029
IL2R,23.0,0.0022852308286510623,0.003894702612656505
URYVL,25.0,0.005446656058885346,0.024015203905584457
RIPL,51.0,0.002271687298864781,0.006723281430379345
OLLR,78.0,0.004332519410130644,0.05369802648063356
URBL,20.0,0.006084306213382264,0.006174810362369725
IL2VR,38.0,7.51449460749383e-05,0.004608343285004415
IL1DR,28.0,0.0017005438252636377,0.0050266306891322
URADR,13.0,0.001958471798378292,0.0015962881048974511
IL1R,32.0,0.009083875132290732,0.010080567234012952
URAVL,12.0,0.0001234517048903351,0.0010748259926560693
OLQVL,28.0,0.005599856004648589,0.0056802518152614875
RMED,16.0,0.003687893942924625,0.00302881541351913
URBR,23.0,0.006615170593981139,0.0062971596953472295
OLQDR,21.0,0.00384608300972013,0.005526374730372869
URYVR,28.0,0.005574281371950094,0.02255442720314241
RIPR,63.0,0.0017941698984812926,0.007207028320179213
RMEL,21.0,0.004177726866625248,0.0026973064536342573
BAGL,25.0,0.0019804235504340354,0.028331012246521913
CEPVL,38.0,0.001269570955644938,0.021954322086909832
BAGR,23.0,0.0026717245850608907,0.023487719196144254
OLQVR,34.0,0.003901457798719917,0.006047183330255729
URAVR,14.0,0.00023208379580403937,0.0013388407323130385
RMER,27.0,0.004768639920769046,0.0030288410144122782
IL1VR,27.0,0.005787251058929884,0.005523657784661624
RID,39.0,0.015918239550279437,0.0377035350187944
CEPVR,38.0,0.006755383733869394,0.021339993062312778
RMEV,32.0,0.013897910697190569,0.007033738556884821
CEPDL,47.0,0.0012517541115271613,0.022519147038244314
RMDVL,71.0,0.005813079439217455,0.024737984019495722
SAAVL,46.0,0.0014379193672668276,0.08431051414942083
SMDVL,46.0,0.00542143955662239,0.021752521321626007
URXL,37.0,0.0018455269786354965,0.022767579214918284
ALA,11.0,0.0016109471232038312,0.015531326979248094
RMDVR,72.0,0.00734840789064855,0.026805905382689454
CEPDR,51.0,0.010623682107473213,0.027016009807956553
AVAL,337.0,0.05247901989221178,0.3725261017187539
RIAL,157.0,0.004370224854266728,0.0495370050162723
ASKL,24.0,0.002518220448648342,0.003920908710356827
SAAVR,33.0,0.0003477459698713561,0.06922358872255975
RMDL,47.0,0.004507773607172003,0.016529233054862445
URXR,31.0,0.009490777268196285,0.015836740037163625
SMDVR,41.0,0.001056366278750794,0.020308223441433095
AFDL,20.0,0.00011947135418033793,0.00320342015507333
AVAR,347.0,0.047119912139057446,0.40736702150004717
RIAR,156.0,0.008050036431166804,0.04793875514416339
ASKR,28.0,0.0023514953903406837,0.006000761145012756
AVEL,168.0,0.03922995379225346,0.17614330684287424
ADLL,45.0,0.008892444749233884,0.048869648713497846
ADFL,51.0,0.0002356621471859292,0.022206591988693066
RMDR,42.0,0.006132705339556621,0.014718109125030429
AFDR,31.0,0.0017449577545400519,0.00412494893650867
SIBDL,5.0,0.0,0.0009477255497186458
RIH,82.0,0.01575937595408776,0.026572244635895925
AWBL,33.0,0.005220554253269799,0.014412906595647255
AVER,165.0,0.037968053347053644,0.19282225612882822
RMDDL,74.0,0.0022684226645852145,0.026103345718528886
AWCL,24.0,0.002678591402966715,0.009954464842595764
ADFR,56.0,0.004223868325290482,0.021396935784527196
ASGL,10.0,0.0006730841743635482,0.0030752797410937612
SAADL,41.0,0.00780699080824313,0.03833760998195761
ADLR,41.0,0.004010600298546146,0.05152587575561505
AWAL,27.0,0.0012201853803378367,0.008002270006555318
AWBR,24.0,0.005856544332705121,0.011972449229309061
ASIL,15.0,0.001756998583695982,0.0032614915879394177
ASHL,42.0,0.003799083541237297,0.0492313072108828
SIBDR,10.0,0.0010869527569624898,0.0021198970120655134
ASGR,12.0,0.0018019926244527084,0.0030198165508153896
AIBL,91.0,0.014322654565889782,0.05098462251099772
ASHR,53.0,0.0042073402599189375,0.06623193882034066
AWCR,33.0,0.0008131138112336952,0.007890832977899234
AWAR,26.0,0.003932235897319011,0.005348080719617562
SIBVL,14.0,0.004004691254416766,0.010847895510882825
RIVL,18.0,0.0021093540524205765,0.005051768307025355
SMDDL,38.0,0.001748955455816953,0.020736601810732405
SAADR,34.0,0.011550524866506645,0.026129090435607155
RMHL,18.0,0.0007576925138091452,0.004729880508516392
RMDDR,74.0,0.0029457573269839935,0.024864721698234615
ASIR,11.0,0.0007721591167473065,0.0027039217608677345
AVHL,36.0,0.015274509464279724,0.02340607306920261
AVHR,33.0,0.017786684227747873,0.021081768809165825
RIVR,24.0,0.0022934173252211077,0.00785607325379098
AIBR,96.0,0.03551575628002658,0.05097625022272772
RIBL,78.0,0.04414246145731829,0.0544636747947669
RMFL,22.0,0.0030121965838842426,0.008427274217012672
AVBL,168.0,0.10072160119591289,0.17991496860075828
SIBVR,11.0,0.0025928661591150272,0.005778303347813108
ASEL,52.0,0.0022956866379341082,0.013454461003555076
AVJR,58.0,0.014261161819690405,0.06501094162254839
AUAL,37.0,0.003914566995970797,0.03484823940450544
SIADL,6.0,0.0010306610024983915,0.0027265983397357315
RMHR,16.0,0.003358555966118057,0.004008700145246481
AVJL,57.0,0.012988811541157478,0.06123115511662788
ASER,49.0,0.0030678177287984357,0.014132834634063807
AVBR,195.0,0.07965555585757314,0.19389594733005425
RIBR,72.0,0.026809297435553915,0.04819522688982277
RMFR,18.0,9.349043826540368e-05,0.010479720024426075
SMDDR,52.0,0.005878218843587578,0.030805128642522498
AIAL,55.0,0.0067304223091717045,0.016269011237860197
RIR,52.0,0.005480124784140209,0.02152268482982128
SMBDL,29.0,0.00431357391227409,0.019256176666424495
RIML,58.0,0.009044652433665392,0.056427435902170184
